"Station Name","VANCOUVER INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","49.19"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108395"
"WMO Identifier","71892"
"TC Identifier","YVR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"M","Missing"
"E","Estimated"
"NA","Not Available"
"**","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-08-01 00:00","2013","08","01","00:00","**","18.7","","14.6","","77","","13","","3","","32.2","","101.60","","","","","","Rain"
"2013-08-01 01:00","2013","08","01","01:00","**","18.4","","15.1","","81","","1","","5","","32.2","","101.57","","","","","","Cloudy"
"2013-08-01 02:00","2013","08","01","02:00","**","17.8","","16.0","","89","","18","","9","","24.1","","101.57","","","","","","Rain"
"2013-08-01 03:00","2013","08","01","03:00","**","17.2","","15.6","","90","","15","","13","","32.2","","101.57","","","","","","NA"
"2013-08-01 04:00","2013","08","01","04:00","**","15.9","","14.1","","89","","13","","11","","32.2","","101.57","","","","","","Mostly Cloudy"
"2013-08-01 05:00","2013","08","01","05:00","**","14.6","","12.8","","89","","11","","17","","24.1","","101.60","","","","","","NA"
"2013-08-01 06:00","2013","08","01","06:00","**","14.8","","13.0","","89","","10","","14","","24.1","","101.66","","","","","","NA"
"2013-08-01 07:00","2013","08","01","07:00","**","16.0","","13.5","","85","","9","","13","","24.1","","101.67","","","","","","Mainly Clear"
"2013-08-01 08:00","2013","08","01","08:00","**","17.0","","13.2","","78","","12","","21","","24.1","","101.66","","","","","","NA"
"2013-08-01 09:00","2013","08","01","09:00","**","18.1","","13.5","","74","","11","","20","","32.2","","101.65","","","","","","NA"
"2013-08-01 10:00","2013","08","01","10:00","**","18.7","","13.8","","73","","13","","10","","32.2","","101.63","","","","","","Mainly Clear"
"2013-08-01 11:00","2013","08","01","11:00","**","20.4","","14.2","","67","","14","","16","","32.2","","101.61","","","","","","NA"
"2013-08-01 12:00","2013","08","01","12:00","**","20.5","","14.5","","68","","16","","17","","32.2","","101.60","","","","","","NA"
"2013-08-01 13:00","2013","08","01","13:00","**","21.0","","14.7","","67","","12","","15","","32.2","","101.58","","25","","","","Mostly Cloudy"
"2013-08-01 14:00","2013","08","01","14:00","**","21.2","","13.7","","62","","16","","16","","32.2","","101.55","","","","","","NA"
"2013-08-01 15:00","2013","08","01","15:00","**","20.6","","13.2","","62","","14","","22","","32.2","","101.56","","","","","","NA"
"2013-08-01 16:00","2013","08","01","16:00","**","20.0","","13.1","","64","","12","","21","","32.2","","101.55","","","","","","Cloudy"
"2013-08-01 17:00","2013","08","01","17:00","**","20.0","","13.3","","65","","15","","18","","32.2","","101.52","","","","","","NA"
"2013-08-01 18:00","2013","08","01","18:00","**","18.5","","12.6","","68","","12","","22","","24.1","","101.54","","","","","","NA"
"2013-08-01 19:00","2013","08","01","19:00","**","17.9","","12.6","","71","","10","","21","","24.1","","101.56","","","","","","Cloudy"
"2013-08-01 20:00","2013","08","01","20:00","**","17.4","","13.2","","76","","11","","20","","24.1","","101.60","","","","","","NA"
"2013-08-01 21:00","2013","08","01","21:00","**","17.0","","13.0","","77","","12","","16","","24.1","","101.61","","","","","","NA"
"2013-08-01 22:00","2013","08","01","22:00","**","16.5","","13.1","","80","","10","","22","","24.1","","101.60","","","","","","Cloudy"
"2013-08-01 23:00","2013","08","01","23:00","**","17.0","","13.0","","77","","9","","20","","24.1","","101.64","","","","","","Rain"
"2013-08-02 00:00","2013","08","02","00:00","**","15.7","","13.9","","89","","10","","17","","24.1","","101.65","","","","","","Rain"
"2013-08-02 01:00","2013","08","02","01:00","**","15.4","","13.6","","89","","10","","26","","24.1","","101.65","","","","","","Cloudy"
"2013-08-02 02:00","2013","08","02","02:00","**","15.2","","13.3","","88","","11","","23","","24.1","","101.66","","","","","","NA"
"2013-08-02 03:00","2013","08","02","03:00","**","15.3","","12.8","","85","","10","","20","","24.1","","101.68","","","","","","NA"
"2013-08-02 04:00","2013","08","02","04:00","**","15.1","","12.8","","86","","11","","16","","24.1","","101.65","","","","","","Cloudy"
"2013-08-02 05:00","2013","08","02","05:00","**","15.1","","13.0","","87","","11","","20","","24.1","","101.68","","","","","","NA"
"2013-08-02 06:00","2013","08","02","06:00","**","15.2","","12.7","","85","","11","","20","","24.1","","101.71","","","","","","NA"
"2013-08-02 07:00","2013","08","02","07:00","**","15.3","","12.8","","85","","12","","19","","24.1","","101.76","","","","","","Cloudy"
"2013-08-02 08:00","2013","08","02","08:00","**","15.6","","12.8","","83","","11","","22","","24.1","","101.80","","","","","","Rain"
"2013-08-02 09:00","2013","08","02","09:00","**","15.6","","12.9","","84","","10","","22","","24.1","","101.83","","","","","","Rain Showers"
"2013-08-02 10:00","2013","08","02","10:00","**","14.7","","13.6","","93","","13","","17","","19.3","","101.87","","","","","","Rain Showers"
"2013-08-02 11:00","2013","08","02","11:00","**","15.0","","13.9","","93","","13","","19","","16.1","","101.92","","","","","","Rain"
"2013-08-02 12:00","2013","08","02","12:00","**","15.6","","14.0","","90","","13","","14","","19.3","","101.93","","","","","","Rain"
"2013-08-02 13:00","2013","08","02","13:00","**","15.9","","14.1","","89","","12","","18","","24.1","","101.96","","","","","","Cloudy"
"2013-08-02 14:00","2013","08","02","14:00","**","16.1","","14.1","","88","","14","","16","","24.1","","101.97","","","","","","NA"
"2013-08-02 15:00","2013","08","02","15:00","**","16.8","","13.4","","80","","15","","13","","24.1","","101.95","","","","","","NA"
"2013-08-02 16:00","2013","08","02","16:00","**","17.6","","13.4","","76","","14","","15","","24.1","","101.92","","","","","","Cloudy"
"2013-08-02 17:00","2013","08","02","17:00","**","17.2","","13.2","","77","","16","","10","","24.1","","101.93","","","","","","NA"
"2013-08-02 18:00","2013","08","02","18:00","**","17.2","","13.0","","76","","14","","14","","24.1","","101.92","","","","","","NA"
"2013-08-02 19:00","2013","08","02","19:00","**","16.7","","12.9","","78","","13","","9","","24.1","","101.97","","","","","","Cloudy"
"2013-08-02 20:00","2013","08","02","20:00","**","16.3","","13.3","","82","","14","","10","","24.1","","101.96","","","","","","NA"
"2013-08-02 21:00","2013","08","02","21:00","**","15.9","","13.2","","84","","15","","9","","24.1","","102.00","","","","","","NA"
"2013-08-02 22:00","2013","08","02","22:00","**","15.6","","13.3","","86","","16","","10","","24.1","","101.98","","","","","","Cloudy"
"2013-08-02 23:00","2013","08","02","23:00","**","15.5","","13.7","","89","","11","","8","","24.1","","102.03","","","","","","Rain"
"2013-08-03 00:00","2013","08","03","00:00","**","15.3","","13.9","","91","","20","","2","","24.1","","101.98","","","","","","NA"
"2013-08-03 01:00","2013","08","03","01:00","**","15.4","","13.6","","89","","11","","5","","24.1","","101.96","","","","","","Cloudy"
"2013-08-03 02:00","2013","08","03","02:00","**","15.5","","13.9","","90","","12","","7","","24.1","","101.95","","","","","","NA"
"2013-08-03 03:00","2013","08","03","03:00","**","15.6","","14.0","","90","","13","","3","","24.1","","101.95","","","","","","NA"
"2013-08-03 04:00","2013","08","03","04:00","**","15.7","","13.7","","88","","10","","6","","24.1","","101.97","","","","","","Cloudy"
"2013-08-03 05:00","2013","08","03","05:00","**","15.5","","13.9","","90","","11","","9","","24.1","","101.98","","","","","","NA"
"2013-08-03 06:00","2013","08","03","06:00","**","15.8","","13.7","","87","","10","","7","","24.1","","102.01","","","","","","NA"
"2013-08-03 07:00","2013","08","03","07:00","**","16.3","","14.2","","87","","15","","5","","19.3","","102.01","","","","","","Mostly Cloudy"
"2013-08-03 08:00","2013","08","03","08:00","**","16.9","","14.4","","85","","9","","5","","19.3","","102.03","","","","","","NA"
"2013-08-03 09:00","2013","08","03","09:00","**","17.4","","13.8","","79","","18","","3","","19.3","","102.04","","","","","","NA"
"2013-08-03 10:00","2013","08","03","10:00","**","17.8","","14.5","","81","","22","","8","","19.3","","102.03","","","","","","Cloudy"
"2013-08-03 11:00","2013","08","03","11:00","**","18.3","","14.8","","80","","26","","8","","19.3","","102.03","","","","","","NA"
"2013-08-03 12:00","2013","08","03","12:00","**","19.1","","15.2","","78","","26","","14","","24.1","","102.01","","","","","","NA"
"2013-08-03 13:00","2013","08","03","13:00","**","19.5","","14.8","","74","","27","","10","","24.1","","101.99","","","","","","Mostly Cloudy"
"2013-08-03 14:00","2013","08","03","14:00","**","19.5","","14.6","","73","","26","","8","","32.2","","101.96","","","","","","NA"
"2013-08-03 15:00","2013","08","03","15:00","**","20.1","","14.8","","71","","30","","11","","32.2","","101.91","","","","","","NA"
"2013-08-03 16:00","2013","08","03","16:00","**","20.1","","14.8","","71","","29","","9","","32.2","","101.85","","","","","","Mostly Cloudy"
"2013-08-03 17:00","2013","08","03","17:00","**","20.2","","14.4","","69","","29","","9","","32.2","","101.81","","","","","","NA"
"2013-08-03 18:00","2013","08","03","18:00","**","20.0","","14.9","","72","","23","","10","","48.3","","101.77","","","","","","NA"
"2013-08-03 19:00","2013","08","03","19:00","**","19.3","","14.8","","75","","25","","6","","48.3","","101.76","","","","","","Mainly Clear"
"2013-08-03 20:00","2013","08","03","20:00","**","18.8","","14.7","","77","","24","","4","","48.3","","101.77","","","","","","NA"
"2013-08-03 21:00","2013","08","03","21:00","**","17.7","","15.0","","84","","22","","7","","48.3","","101.78","","","","","","NA"
"2013-08-03 22:00","2013","08","03","22:00","**","17.7","","15.0","","84","","22","","6","","48.3","","101.79","","","","","","Mainly Clear"
"2013-08-03 23:00","2013","08","03","23:00","**","16.3","","14.7","","90","","1","","2","","32.2","","101.79","","","","","","NA"
"2013-08-04 00:00","2013","08","04","00:00","**","16.4","","14.4","","88","","10","","3","","32.2","","101.76","","","","","","NA"
"2013-08-04 01:00","2013","08","04","01:00","**","14.7","","13.6","","93","","30","","2","","32.2","","101.74","","","","","","Mainly Clear"
"2013-08-04 02:00","2013","08","04","02:00","**","15.4","","14.8","","96","","14","","3","","32.2","","101.74","","","","","","NA"
"2013-08-04 03:00","2013","08","04","03:00","**","15.3","","14.4","","94","","13","","3","","32.2","","101.73","","","","","","NA"
"2013-08-04 04:00","2013","08","04","04:00","**","16.4","","15.0","","91","","16","","2","","32.2","","101.73","","","","","","Mostly Cloudy"
